 INFO  Accepting connections at http://localhost:3000
 HTTP  9/21/2026 5:08:07 PM ::1 GET /
 HTTP  9/21/2026 5:08:07 PM ::1 Returned 200 in 258 ms
 HTTP  9/21/2026 5:08:07 PM ::1 GET /compass-logo.png
 HTTP  9/21/2026 5:08:08 PM ::1 GET /_next/static/chunks/24v4i2qmup8bl.css
 HTTP  9/21/2026 5:08:07 PM ::1 Returned 200 in 343 ms
 HTTP  9/21/2026 5:08:08 PM ::1 Returned 200 in 375 ms
 HTTP  9/21/2026 5:08:08 PM ::1 GET /_next/static/chunks/3s6nzrbk-8mnv.js
 HTTP  9/21/2026 5:08:09 PM ::1 GET /_next/static/chunks/19mx3mg6lkumu.js
 HTTP  9/21/2026 5:08:09 PM ::1 GET /_next/static/chunks/3kmozkq6tgqnz.js
 HTTP  9/21/2026 5:08:09 PM ::1 GET /_next/static/chunks/2l5x-zhm7488_.js
 HTTP  9/21/2026 5:08:09 PM ::1 GET /_next/static/chunks/turbopack-23uo424_7v2rd.js
 HTTP  9/21/2026 5:08:09 PM ::1 GET /_next/static/chunks/3fntmmi971322.js
 HTTP  9/21/2026 5:08:08 PM ::1 Returned 200 in 1257 ms
 HTTP  9/21/2026 5:08:09 PM ::1 Returned 200 in 1037 ms
 HTTP  9/21/2026 5:08:09 PM ::1 Returned 200 in 614 ms
 HTTP  9/21/2026 5:08:09 PM ::1 Returned 200 in 374 ms
 HTTP  9/21/2026 5:08:10 PM ::1 GET /_next/static/media/public-sans-latin-400-normal.0dfhr30pzjgke.woff2
 HTTP  9/21/2026 5:08:09 PM ::1 Returned 200 in 1059 ms
 HTTP  9/21/2026 5:08:09 PM ::1 Returned 200 in 1379 ms
 HTTP  9/21/2026 5:08:10 PM ::1 GET /_next/static/media/source-serif-4-latin-400-normal.2h0g4hvhigxb2.woff2
 HTTP  9/21/2026 5:08:10 PM ::1 GET /_next/static/media/public-sans-latin-600-normal.28kl08ryt2g51.woff2
 HTTP  9/21/2026 5:08:10 PM ::1 GET /_next/static/media/source-serif-4-latin-400-italic.176tdg0wh_pxv.woff2
 HTTP  9/21/2026 5:08:10 PM ::1 Returned 200 in 684 ms
 HTTP  9/21/2026 5:08:10 PM ::1 Returned 200 in 413 ms
 HTTP  9/21/2026 5:08:11 PM ::1 GET /_next/static/media/public-sans-latin-800-normal.3yqjxqcq8pbt_.woff2
